station_name,total_count
1 Market St,1808.0
111 Bond St (North of Dundas St E)  - SMART,4587.0
12 Harbour St,38136.0
128 Sterling Ave - SMART,4877.0
135 Queen’s Wharf - SMART,385.0
161 Bleecker St (South of Wellesley),13610.0
190 Queens Quay E,27949.0
20 Charles St E,46196.0
200 Bloor St. E.,51948.0
25 York St – Union Station South,71896.0
324 Cherry St - SMART,17602.0
424 Wellington St W - SMART,41504.0
439 Sherbourne St - SMART,3910.0
457 King St. W. at Spadina,9298.0
51 Parliament St,66213.0
519 Church St - SMART,62937.0
541 Huron St - SMART,3847.0
80 Clinton St (North of College) - SMART,49019.0
Adelaide St W / Bay St - SMART,29713.0
Adelaide St W / Brant St,74269.0
Adelaide St W / Strachan Ave,77233.0
Alameda Ave / Vaughan Rd - SMART,960.0
Alma Ave / Gladstone Ave SMART,27338.0
Alton Ave / Dundas St E (Greenwood Park),48338.0
Alvin Ave / St Clair Ave E - SMART,2985.0
Amelia St. / Sumach St.,26564.0
Amos Waites Park,5929.0
Annette St / Dundas W,779.0
Annette St / Jane St - SMART,2044.0
Antler St / Campbell Ave - SMART,9140.0
Augusta Ave / Denison Sq,56247.0
Augusta Ave / Dundas St W,26933.0
Baldwin Ave / Spadina Ave - SMART,34104.0
Baldwin St / Henry St - SMART,6345.0
Balliol St / Yonge St  SMART,39469.0
Bartlett Parkette,3924.0
Barton St / Howland St - SMART,30782.0
Bathurst St / Adelaide St W,28613.0
Bathurst St / Dundas St W,75857.0
Bathurst St / Fort York Blvd,111394.0
Bathurst St / Lennox St,28415.0
Bathurst St/Queens Quay(Billy Bishop Airport),88401.0
Bathurst Subway Station,67279.0
Bay St / Albert St,80668.0
Bay St / Bloor St W (East Side),113354.0
Bay St / Bloor St W (West Side),79277.0
Bay St / Charles St - SMART,56138.0
Bay St / College St (East Side),111552.0
Bay St / College St (West Side) - SMART,43142.0
Bay St / Davenport Rd,7752.0
Bay St / Queens Quay W (Ferry Terminal),141624.0
Bay St / St. Joseph St,44511.0
Bay St / Wellesley St W,87437.0
Bayview Ave / Lawren Harris Square,13663.0
Bellwoods Ave / Treford Pl - SMART,1928.0
Belmont St / Davenport Rd - SMART,9524.0
Beltline Trail / Chaplin Cres.,20035.0
Berkeley St / Adelaide St E - SMART,27235.0
Berkeley St / Dundas St E - SMART,85875.0
Berry Rd / Bell Manor Dr,2284.0
Beverley  St / Dundas St W,70200.0
Beverley St / College St,11164.0
Blake St / Boultbee Ave,8979.0
Bleecker St / St James Ave,46791.0
Bloor GO / UP Station (West Toronto Railpath),26935.0
Bloor St E / Huntley St - SMART,36654.0
Bloor St W / Balmuto St,34597.0
Bloor St W / Brock Ave,1728.0
Bloor St W / Christie St,68415.0
Bloor St W / Dundas St W,15727.0
Bloor St W / Gladstone Ave,1460.0
Bloor St W / High Park Ave (High Park),10154.0
Bloor St W / Huron St,40695.0
Bloor St W / Indian Rd,991.0
Bloor St W / Manning Ave - SMART,74239.0
Bloor St W / Pacific Ave,791.0
Bloor St W / Riverside Ave,1040.0
Bloor St W / Shaw Ave - SMART,29596.0
Blythwood Rd / Yonge St - SMART,59141.0
Bond St / Queen St E,93788.0
Borden St / Bloor St W - SMART,61765.0
Boston Ave / Queen St E,14403.0
Braemar Ave / Eglinton Ave W -SMART,1129.0
Bremner Blvd / Rees St,24624.0
Briar Hill Ave / Yonge St - SMART,47652.0
Brick Works,7299.0
Bridgeman Ave / Bathurst St,55074.0
Bridgeman Ave / Kendal Ave - SMART,3865.0
Broadview Ave / Danforth Ave,10342.0
Broadview Ave / Westwood Ave,46855.0
Cariboo St / Rail Path,44585.0
Carlaw Ave / Danforth Ave - SMART,14879.0
Carlaw Ave / Dundas St E,7248.0
Carlaw Ave / Strathcona Ave,60258.0
Carlton St / Parliament St,75204.0
Castle Frank Station,70725.0
Central Tech  (Harbord St),40404.0
Charles St E / Jarvis St - SMART,45853.0
Charles St W / Balmuto St - SMART,61107.0
Cherry Beach,73943.0
Cherry Beach Sports Field (55 Unwin Ave),15911.0
Cherry St / Distillery Ln,21279.0
Cherry St / Mill St,23142.0
Chester Station (Green P),76454.0
Chiltern Hill Rd / Eglinton Ave W - SMART,1327.0
Chorley Park - SMART,14322.0
Christie St / Benson Ave (Wychwood Barns),30934.0
Church St  / Wood St,72523.0
Church St / Alexander St,66378.0
Church St / Bloor St E,30311.0
Church St / Dundas St E - SMART,27034.0
Church St / Lombard St,51084.0
Claremont St / Dundas St W,52412.0
Clarence Square,25864.0
Clendenan Ave / Rowland St - SMART,11716.0
College Park - Yonge St Entrance,60907.0
College Park South,28837.0
College Park- Gerrard Entrance,80367.0
College St / Borden St,77869.0
College St / Crawford St,76161.0
College St / Huron St,64397.0
College St / Major St,111882.0
College St / Markham St,88242.0
College St / McCaul St,16146.0
Colonel Danforth Park,2496.0
Concord Av / Dewson St,12164.0
Concord Ave / Bloor St W - SMART,18085.0
Cosburn Ave / Cedarvale Ave - SMART,2920.0
Cosburn Ave / Donlands Ave,11350.0
Cosburn Ave / Durant Ave - SMART,745.0
Coxwell Ave /  Lake Shore Blvd E,66274.0
Coxwell Ave / Plains Rd,1726.0
Crawford St / Queen St W,24694.0
Cumberland Ave / Bay St SMART,68864.0
D'Arcy St / Spadina Ave - SMART,47821.0
D'Arcy St. /McCaul St. SMART,66748.0
Dalton Rd / Bloor St W,33070.0
Danforth Ave / Aldridge Ave,32973.0
Danforth Ave / Barrington Ave,51765.0
Danforth Ave / Coxwell Ave,6338.0
Danforth Ave / Dewhurst Blvd,967.0
Danforth Ave / Ellerbeck St,102264.0
Danforth Ave / Gough Ave,49737.0
Danforth Ave / Lamb Ave,8430.0
Danforth Ave / Sibley Ave - SMART,2646.0
Danforth Ave / Westlake Ave,17370.0
Davenport Rd / Avenue Rd,43042.0
Davenport Rd / Bathurst St,8204.0
Davenport Rd / Bedford Rd,61298.0
Davenport Rd / Christie St,29074.0
Davenport Rd / Lansdowne Ave.,5639.0
Davenport Rd / McAlpine St - SMART,36910.0
Davenport Rd / Oakwood Rd - SMART,4075.0
Davisville Ave / Pailton Cres - SMART,2156.0
Dawes Rd / Taylor Creek Trl,2423.0
Dentonia Park,11356.0
Dockside Dr / Queens Quay E (Sugar Beach),46.0
Donlands Station,31729.0
Dovercourt Rd / Harrison St (Green P) - SMART,22824.0
Dufferin Gate - SMART,52626.0
Dufferin St / Bloor St,7874.0
Dufferin St / Finch Hydro Recreational Trail,2138.0
Dufferin St / Sylvan Av (Dufferin Grove Park),17027.0
Dundas St E / Boulton Ave - SMART,95199.0
Dundas St E / Broadview Ave,30858.0
Dundas St E / George St,6383.0
Dundas St E / Parliament St,47081.0
Dundas St E / Pembroke St - SMART,49379.0
Dundas St E / Regent Park Blvd,70813.0
Dundas St E / Victoria St,13088.0
Dundas St W / Crawford St,97676.0
Dundas St W / Edna Ave,8143.0
Dundas St W / Roncesvalles Green P - SMART,6758.0
Dundas St W / St. Patrick St,91524.0
Dundas St W / Watkinson Ave - SMART,20115.0
