id,name
2975,Laurence Fishburne
8349,Captain Benjamin Willard
8351,Jay 'Chef' Hicks
8354,Chief Phillips
6384,Neo
530,Trinity
1107983,Self (archive footage)
52057,Narrator
110380,Self
18471,Self
74611,Self
1407498,Self
47296,Bryan Gordon
17637,Steve Lerato
53336,Lil One
2639,Passenger
2641,Johnny Bristol
13724,Anne Palmer
2112,Berdahl
6193,Billy
1892,Colin
514,Costello
7796,Mary (voice)
851784,Violet (voice)
89819,Henry (voice)
92029,David Brochman
218506,Doris
103835,Mickey
6717,Dommy
26466,Mary Hohne
18269,Bobby McLaughlin
928944,Himself
2022250,Himself
9979,Himself
2098136,Himself
2098137,Himself
2098138,Himself
5606,Self
5632,Self
11367,Josh Lyman
31028,Toby Ziegler
21010,June Michels
101032,
1397846,Self
2166741,Self
4001066,Narrator (voice)
1197772,Self
3895,Self
59258,
3392,
564,Self
584,Self (Archive footage)
32233,Self
1357063,Self
40644,Self
1779512,Self
1776,Self
38803,Self
64,Self (archive footage)
21127,Jaxton
1692944,Logan
30020,Self
30022,Self
68833,Self
9340,Self (archive footage)
9339,Self (archive footage)
4789367,Self - Gender studies teacher
529,Leonard
532,Teddy
180659,Self
1280183,Self
181934,Self
496175,Self
2102583,Self
73988,Self (archive footage)
21111,Self (archive footage)
1006651,Self
23626,Narrator (voice)
937663,Self
1931175,Self
2954,Narrator (voice)
33663,Self (archive footage)
2301996,Self (archive footage)
2787630,Self/Narrator
89289,Self/Cameo (archive footage)
2803017,Self (archive footage)
2803001,Self/Cameo (archive footage)
1165240,Narrator
2855535,Self
2939212,Self
214317,Self (archive footage)
13716,Self
117180,Self
237876,
1050881,Self (archive footage)
12951,Self (archive footage)
2998183,Self (archive footage)
1231277,Self
7172,
21112,
1038,Clarice Starling
4173,Dr. Hannibal Lecter
349,Jack Crawford
2535,Detective Martin
225620,Richard Lazard
1122373,Himself
1122374,Himself
1122375,Himself
1507609,Himself
1507612,Himself
1507613,Herself
19011,Self
146687,Self
74266,Self
1884692,Narrator (voice)
2701107,Doctor of Psychology
1897,Self (Archive footage)
77896,Self
1224841,Self
539,Self
111513,Self
2395,Self - Host
1735828,Self
53397,Self
170497,Self
4491,Self
56322,Self
2682390,Self
2227,Self
4430,Self
14837,Self
5823,Self - Guest
3141,Self - Guest
1068417,Self
77072,Self
56367,Self
14386,Self
84932,Self
1680929,Self
102786,Self
128550,Self
2320880,Self
56978,Blue
43902,Alex
84164,Lars
21029,James Bird
1661329,Claire
219688,Himself
1277412,Herself
17828,Himself
40036,Herself - Host / Mrs. Claus / Mary / Prancer
1394997,Himself / Jesus / Reindeer
131722,Herself
2496,J. C. Grant
22091,David Grant
2282,Potifar
24589,Josef
24590,Lea
1205143,
1205144,
11770,Self
515,Self
9111,Jim Phelps
98234,Cinnamon Carter
2222,Self
18878,Self
6349,Self (archive footage)
21278,Self
8488,Scout Finch
8487,Atticus Finch
8489,Jem
84206,Polly
119598,Aunt Polly
8656,Doctor Shannon
57686,Steve Johnson
32646,Tamala Davis
20493,Sophia Johnson
103,Chuck Aule
24045,Arthur
3899,Saito
134,Django Freeman
27319,Dr. King Schultz
9261,Self
488,Self
2689,Self
16418,Additional Voices (voice)
15831,Additional Voices (voice)
11478,Self
380,Self
944538,Narrator (voice)
2830394,Self
971346,Self
21007,Donnie Azoff
234352,Naomi Lapaglia
31,Self
1206,self
70851,Self
2366,Self
150367,Self
204,Self / Rose DeWitt Bukater
2710,Self
8529,Self
1032,Self
2157,Sean Maguire
880,Chuckie Sullivan
3197,Sergeant Horvath
12833,Private Reiben
10297,Cooper
1813,Brand
1231844,Himself
1214256,Himself
21037,Self
1800494,Self - Drums
1775343,Self - Bass
3894,Ken Miles
19498,Lee Iacocca
1810,Self (archive footage)
3361135,Narrator
1812,Self
2037,J. Robert Oppenheimer
5081,Kitty Oppenheimer
578,Self
1023139,Self
1370,Billy Bibbit
7071,Nurse Mildred Ratched
10409,Wendy Torrance
10410,Danny
34947,Narrator (voice)
1262612,Self
21200,Self
15189,Self (archive footage)
18514,Self (archive footage)
4955,Self (archive footage)
61110,Self / Stuart / Garth
707,Self / Super Bass-O-Matic 2150 Spokesperson / Elwood Blues
